country,totalCases,newCases,totalDeaths,newDeaths,totalRecoverd,totalTests,population
Burkina Faso,3894,315,71,2,2858,,21156054
Gambia,3779,,123,,3645,26851,2446590
Togo,3576,19,10,,2745,160114,8364621
South Sudan,3221,25,66,,3043,63753,11252454
Benin,3206,,62,,2972,360194,12263404
Guinea-Bissau,3090,,44,,2337,33033,1988589
Sierra Leone,2444,2,44,,1850,,8049008
Lesotho,2440,36,75,,1319,27964,2149874
Niger,2250,39,44,,1276,50488,24589750
New Zealand,2199,,80,,2010,1332470,
Yemen,2096,1,25,,1383,17404,30117161
Channel Islands,2083,51,606,,1088,199491,174582
San Marino,1977,24,48,1,1575,21402,33963
Chad,1932,6,51,,1603,,16633473
Liberia,1751,,102,,1358,35957,5110303
Liechtenstein,1676,16,83,,1296,15808,38177
Vietnam,1514,4,20,,1238,1339465,97731452
Sint Maarten,1397,24,35,,1070,8306,43094
Gibraltar,1232,2,26,,1028,101865,33686
Sao Tome and Principe,1075,,5,,947,7498,220969
Mongolia,1009,1,17,,384,405013,3301822
Saint Martin,907,,0,,675,7838,38960
Turks and Caicos,801,,12,,741,10461,38951
Taiwan,769,8,6,,601,114742,23836229
Burundi,736,5,7,,640,70060,12046606
Papua New Guinea,728,,1,,601,32221,9022371
Eritrea,720,55,8,,564,23693,3568345
Monaco,711,9,0,,596,51953,39367
Comoros,668,11,3,,606,,877818
Faeroe Islands,628,5,7,,506,175642,48947
Mauritius,528,,0,,478,289552,1272721
Tanzania,515,,10,,183,,60483797
Bhutan,509,2,21,,396,214336,775413
Bermuda,437,,0,,233,117415,62174
Isle of Man,391,,9,,344,19325,85235
Cambodia,370,,25,,307,251032,16822315
Cayman Islands,359,,0,,267,55584,66067
Barbados,298,,2,,269,52861,287534
Saint Lucia,292,,7,,197,17571,184005
Seychelles,274,,4,,182,5200,98621
Caribbean Netherlands,187,3,0,,165,3966,26332
St. Barth,175,,3,,127,5315,9891
Brunei ,162,,1,,147,77829,439357
Antigua and Barbuda,152,1,3,,138,5188,98293
St. Vincent Grenadines,148,,4,,81,11720,111099
Dominica,94,,0,,76,6175,72067
British Virgin Islands,87,,0,,72,9229,30321
Macao,76,,1,,46,4238,653289
Fiji,46,,0,,35,17576,899363
Grenada,44,,2,,41,6252,112758
Laos,43,,0,,33,83753,7322688
New Caledonia,41,,0,,32,18012,286729
Timor-Leste,36,,0,,30,14932,1329608
Vatican City,31,,0,,15,,802
Saint Kitts and Nevis,27,,0,,23,4376,53368
Greenland,27,,0,,18,13742,56814
Falkland Islands,19,,0,,17,4746,3525
Solomon Islands,17,,0,,5,4500,694333
Saint Pierre Miquelon,17,,0,,14,2946,5781
Montserrat,14,,0,,12,626,4993
Western Sahara,13,,1,,8,,603834
Anguilla,10,,1,,3,2651,15063
Marshall Islands,10,,0,,4,,59370
Wallis and Futuna,4,,0,,1,1149,11149
Samoa,3,,0,,2,,199007
Vanuatu,2,,0,,1,,310323
,,,0,,,,
